url,title,price,old_price,description,image_url,Состав,Артикул,Цвет,Код,Степень облегания,Уникальные свойства,Температурный режим,Силуэт,гендер,Параметры,embed_text,doc_text_rag
https://kanzler-style.ru/product/dzhinsy-r270336/,Джинсы с отстроченными стрелками,12 990,,"Стильные тёмно-синие джинсы KANZLER сложного кроя с застроченными стрелками — сочетание строгой геометрии и продуманных деталей. Чёткий, устремлённый вверх силуэт создаёт изысканный образ. Спереди брюки украшены фирменной вышивкой в виде летящих журавлей — символом лёгкости и движения, который добавляет модели индивидуальности. Контрастные оранжево-охристые швы придают выразительность и подчёркивают линии кроя. По бокам на поясе расположены затяжки с пряжками, позволяющие регулировать посадку и создающие лёгкий функциональный акцент. Плотный традиционный деним с косым рубчиком, созданный из натурального гипоаллергенного дышащего хлопка (99%), приятен к телу. Благодаря небольшому добавлению спандекса (1%) материал легко адаптируется к индивидуальным особенностям фигуры и сохраняет аккуратную форму.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/bb3/1063_1598_2/xi4xti7yeesyh8p134iom8ffulhe13kb.JPG,"99% хлопок,
1% спандекс,
подкладка: 65% полиэстер,
35% хлопок",5A-82WSG-2308-15,Синий,270336.0,,,,,мужской,,"Название: Джинсы с отстроченными стрелками. Описание: Джинсы KANZLER тёмно-синие. Крой сложный, с застроченными стрелками, силуэт чёткий, устремлённый вверх. Спереди вышивка журавлей. Швы контрастные оранжево-охристые. По бокам на поясе затяжки с пряжками для регулировки посадки. Материал — плотный деним с косым рубчиком из хлопка (99%) с добавлением спандекса (1%).. Атрибуты: состав: 99% хлопок, 1% спандекс, подкладка: 65% полиэстер, 35% хлопок; цвет: Синий; гендер: мужской.","Джинсы KANZLER тёмно-синие. Крой сложный, с застроченными стрелками, силуэт чёткий, устремлённый вверх. Спереди вышивка журавлей. Швы контрастные оранжево-охристые. По бокам на поясе затяжки с пряжками для регулировки посадки. Материал — плотный деним с косым рубчиком из хлопка (99%) с добавлением спандекса (1%)."
https://kanzler-style.ru/product/obuv-lofery-r270450/,Лоферы из натуральной замши,16 990,,"Замшевые лоферы KANZLER с удобным закруглённым мыском — современная классика. Приятный песочный оттенок не спорит с палитрой гардероба и придаёт образу утончённость и завершённость. Модель выполнена в минималистичном дизайне, что делает лоферы универсальной парой, которая смотрится одинаково элегантно и с офисным брючным костюмом, и с расслабленными джинсами. Благородная матовая фактура притягивает взгляд, а спокойный оттенок служит фоном для разных цветовых сочетаний. Подкладка из натуральной кожи обеспечивает хорошую воздухопроницаемость, создавая ощущение комфорта в течение долгого дня. Гибкая подошва из ЭВА и резины делает шаг лёгким и упругим.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/431/1063_1598_2/73j8npb52mwgi63fcxttjbbfjrp71le7.JPG,"натуральная замша ,
подкладка: натуральная кожа,
стелька: натуральная кожа (коровья),
подошва: ЭВА+резина",5A-W4WWT-3401-21,Бежевый,270450.0,,,,,мужской,,"Название: Лоферы из натуральной замши. Описание: Лоферы KANZLER из замши песочного цвета. Закругленный мысок, минималистичный дизайн. Подкладка из натуральной кожи для воздухопроницаемости. Подошва комбинированная: ЭВА и резина для гибкости и упругости при ходьбе.. Атрибуты: состав: натуральная замша , подкладка: натуральная кожа, стелька: натуральная кожа (коровья), подошва: ЭВА+резина; цвет: Бежевый; гендер: мужской.","Лоферы KANZLER из замши песочного цвета. Закругленный мысок, минималистичный дизайн. Подкладка из натуральной кожи для воздухопроницаемости. Подошва комбинированная: ЭВА и резина для гибкости и упругости при ходьбе."
https://kanzler-style.ru/product/sorochka-r270457/,Сорочка,10 990,,"Сорочка KANZLER в изысканном сером оттенке — воплощение утончённой классики. Универсальный цвет с благородным жемчужным отливом подойдёт как для офиса, так и для вечерних встреч. Элегантный крой и планка, скрывающие пуговицы, создают чистый безупречный силуэт, а скруглённый низ открывает простор для комбинаций: сорочку можно носить навыпуск или заправлять в брюки и юбки, создавая аккуратный деловой ансамбль. Гладкая ткань струится, свободно облегая тело. Практичный материал сделан из износоустойчивого полиэстера с добавлением эластана — для комфортной посадки и поддержания формы.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/e69/1063_1598_2/4jusy11fluzr964m9rahzvh6xi1pjrwi.JPG,"92% полиэстер,
8% спандекс",5A-44WWT-2318-04,Серый,270457.0,Полуприлегающая,,,,мужской,,"Название: Сорочка. Описание: Сорочка KANZLER серого цвета с жемчужным отливом. Крой с планкой на скрытых пуговицах, скругленный низ. Материал: полиэстер с эластаном. Можно носить навыпуск или заправленной.. Атрибуты: состав: 92% полиэстер, 8% спандекс; цвет: Серый; степень облегания: Полуприлегающая; гендер: мужской.","Сорочка KANZLER серого цвета с жемчужным отливом. Крой с планкой на скрытых пуговицах, скругленный низ. Материал: полиэстер с эластаном. Можно носить навыпуск или заправленной."
https://kanzler-style.ru/product/tolstovka-r270331/,Толстовка из хлопка,12 990,,"Стильная толстовка KANZLER из чистого хлопка кремового цвета сочетает безупречную спортивную эстетику, бескомпромиссный комфорт и выверенные лаконичные детали. Это нарядный и эффектный вариант для отдыха во время уикенда, похода в спортивный клуб или spa-салон. Молния на воротнике позволяет делать образ собранным или более расслабленным. Воротник, манжеты и нижний край толстовки оформлены трикотажными резинками с акцентной чёрной линией, придающей образу графичность. Особое очарование создаёт контраст фактур: передняя часть и спинка выполнены из фактурного материала, рукава — из гладкой ткани. Толстовка выполнена из мягкого, приятного к телу натурального трикотажа из чистого гипоаллергенного хлопка.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/d7f/1063_1598_2/jf1qw144mjqbyrv7qp7n6ngu3eun880r.JPG,"100% хлопок,
окантовка: 100% хлопок",5A-32WWT-2310-26,Молочный,270331.0,Полуприлегающая,,,,мужской,,"Название: Толстовка из хлопка. Описание: Толстовка KANZLER из хлопка кремового цвета. Молния на воротнике для регулировки. Воротник, манжеты и низ с трикотажными резинками с чёрной отделкой. Перед и спинка из фактурного материала, рукава из гладкой ткани. Мягкий хлопковый трикотаж.. Атрибуты: состав: 100% хлопок, окантовка: 100% хлопок; цвет: Молочный; степень облегания: Полуприлегающая; гендер: мужской.","Толстовка KANZLER из хлопка кремового цвета. Молния на воротнике для регулировки. Воротник, манжеты и низ с трикотажными резинками с чёрной отделкой. Перед и спинка из фактурного материала, рукава из гладкой ткани. Мягкий хлопковый трикотаж."
https://kanzler-style.ru/product/kostyum-izo-lna-r259716/,Синий костюм изо льна,9 980,22 980,"Темно-синий костюм KANZLER изо льна — заявление об элегантности и выдержанном стиле, который сочетает классические и современные черты. Чтобы выглядеть  изящно на отдыхе, не обязательно дожидаться поездки на море — роскошную льняную пару можно носить и в повседневной жизни в городе. В комплекте — жилет прилегающего кроя с пуговицами в тон и шорты-бермуды с широкими отворотами, мягкими защипами и подкладкой из гладкой прочной ткани. Натуральный материал из 100-процентного льна практически не нагревается в жаркие дни — гипоаллергенные волокна обеспечивают циркуляцию воздуха и отводят влагу, поддерживая свежесть тела.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/9fc/1063_1598_2/lnx0qrjutgilchqthx3m1vuc3yfd452m.JPG,,5S-24WWT-0906-15,Синий,,,,,,мужской,,"Название: Синий костюм изо льна. Описание: Костюм KANZLER из льна темно-синего цвета. В комплекте жилет прилегающего кроя с пуговицами в тон и шорты-бермуды с широкими отворотами, мягкими защипами и подкладкой из гладкой прочной ткани. Материал — 100% лён, обеспечивает циркуляцию воздуха и отводит влагу.. Атрибуты: цвет: Синий; гендер: мужской.","Костюм KANZLER из льна темно-синего цвета. В комплекте жилет прилегающего кроя с пуговицами в тон и шорты-бермуды с широкими отворотами, мягкими защипами и подкладкой из гладкой прочной ткани. Материал — 100% лён, обеспечивает циркуляцию воздуха и отводит влагу."
https://kanzler-style.ru/product/bryuki-sportivnye-r270332/,Брюки спортивные из хлопка,11 990,,"Удобные стильные брюки KANZLER кремового цвета из чистого хлопка с расслабленном силуэтом обеспечивает комфорт и свободу движений. Это нарядный и эффектный вариант для уикенда, прогулки, похода в спортивный клуб или спа. Пояс с широкой трикотажной резинкой дополнен кулиской с шнурком, которая позволяет регулировать посадку. Плавный клёш от бедра и мягкие защипы спереди формируют женственный силуэт, визуально удлиняя ноги и придавая образу непринуждённость. Материал брюк — мягкий приятный к телу натуральный трикотаж из дышащего гипоаллергенного хлопка (100%), который поддерживает комфорт тела весь день.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/e98/1063_1598_2/8cdlhzeut6qtdjqozw4z80eqnnzuyoaz.JPG,100% хлопок,5A-36WWT-2311-26,Молочный,270332.0,Свободная,,,,мужской,,"Название: Брюки спортивные из хлопка. Описание: Женские брюки KANZLER кремового цвета. Расслабленный силуэт, клёш от бедра. Материал — 100% хлопок, мягкий трикотаж. Пояс с широкой трикотажной резинкой и кулиской со шнурком для регулировки посадки. Мягкие защипы спереди.. Атрибуты: состав: 100% хлопок; цвет: Молочный; степень облегания: Свободная; гендер: мужской.","Женские брюки KANZLER кремового цвета. Расслабленный силуэт, клёш от бедра. Материал — 100% хлопок, мягкий трикотаж. Пояс с широкой трикотажной резинкой и кулиской со шнурком для регулировки посадки. Мягкие защипы спереди."
https://kanzler-style.ru/product/yubka-r270372/,Юбка из шерсти и кашемира,14 990,,"Миди-юбка KANZLER светло-бежевого оттенка из шерсти и кашемира — пример сдержанной элегантности и утончённой женственности. Универсальный крой делает модель идеальной для сочетания с классическими блузами, лёгкими рубашками или уютными оверсайз-свитерами, а комфортная длина подходит для любых ситуаций — от деловых встреч до вечерних выходов. Юбка выполнена в романтичном А-образном силуэте: мягко облегая бёдра, она плавно расширяется книзу, создавая ощущение лёгкого движения и свободы. Широкий пояс подчёркивает талию и формирует гармоничные пропорции фигуры. Плотный трикотаж в рубчик из высококачественной шерсти с нежным кашемиром не только держит форму, но и остаётся мягким на ощупь, обеспечивая комфорт и приятные тактильные ощущения при носке.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/6af/1063_1598_2/1xhqi6yannmmeyz0xu2vv20sem1i6u3f.JPG,"95% шерсть,
5% кашемир",5A-SKWWT-0411-21,Бежевый,270372.0,,Кашемир в составе,,,мужской,,"Название: Юбка из шерсти и кашемира. Описание: Миди-юбка KANZLER светло-бежевого цвета из шерсти и кашемира. А-образный силуэт мягко облегает бёдра и расширяется книзу. Широкий пояс подчёркивает талию. Плотный трикотаж в рубчик сохраняет форму и мягкость.. Атрибуты: состав: 95% шерсть, 5% кашемир; цвет: Бежевый; уникальные свойства: Кашемир в составе; гендер: мужской.",Миди-юбка KANZLER светло-бежевого цвета из шерсти и кашемира. А-образный силуэт мягко облегает бёдра и расширяется книзу. Широкий пояс подчёркивает талию. Плотный трикотаж в рубчик сохраняет форму и мягкость.
https://kanzler-style.ru/product/zhilet-r269996/,Жилет из шерсти и кашемира,29 990,39 990,"Роскошный стёганый жилет KANZLER из шерсти и кашемира элегантного оттенка greige (серый + бежевый) сочетает комфорт и стиль. Модель идеально подходит для многослойных образов, создавая современный динамичный силуэт. Широкая планка со скрытыми кнопками аккуратно закрывает застёжку-молнию, а высокий воротник-стойка защищает от ветра и придаёт силуэту стройность. Подчёркнутые тонкой светло-бежевой канвой карманы с застёжкой-молнией служат для хранения важных мелочей. Верх выполнен из дорогой натуральной ткани с приятной фактурой (90% шерсти и 10% кашемира). Первоклассные наполнители (80% утиный пух и 20% перо, а также полиэстер) гарантируют комфорт и тепло в холодное время года.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/3ae/1063_1598_2/ircseaf9bjndnef4bmsc18lf0tqeg4fo.JPG,"ткань верха: 90% шерсть,
10% кашемир,
наполнитель 1: 80% утиный пух,
20% перо,
наполнитель 2: 100% полэстер,
подкладка: 100% полиамид",5A-15WWT-2301-21,Бежевый,269996.0,Прилегающая,Кашемир в составе,до -10℃,,мужской,,"Название: Жилет из шерсти и кашемира. Описание: Стеганый жилет KANZLER. Цвет greige (серо-бежевый). Материал верха: 90% шерсть, 10% кашемир. Наполнитель: 80% утиный пух, 20% перо, полиэстер. Застежка на молнию с планкой на скрытых кнопках. Высокий воротник-стойка. Карманы с застежкой-молнией подчеркнуты светло-бежевой канвой. Силуэт прилегающий, подходит для многослойных образов.. Атрибуты: состав: ткань верха: 90% шерсть, 10% кашемир, наполнитель 1: 80% утиный пух, 20% перо, наполнитель 2: 100% полэстер, подкладка: 100% полиамид; цвет: Бежевый; степень облегания: Прилегающая; уникальные свойства: Кашемир в составе; температурный режим: до -10℃; гендер: мужской.","Стеганый жилет KANZLER. Цвет greige (серо-бежевый). Материал верха: 90% шерсть, 10% кашемир. Наполнитель: 80% утиный пух, 20% перо, полиэстер. Застежка на молнию с планкой на скрытых кнопках. Высокий воротник-стойка. Карманы с застежкой-молнией подчеркнуты светло-бежевой канвой. Силуэт прилегающий, подходит для многослойных образов."
https://kanzler-style.ru/product/vodolazka-r270378/,Водолазка из хлопка и шелка,5 990,7 990,"Роскошная водолазка KANZLER из хлопка и шёлка воплощает природную гармонию и элегантность. Оливковый оттенок напоминает об итальянском лете, с которым не хочется расставаться никогда. Модель подойдёт для неспешных прогулок, рабочих встреч и вечерних выходов. Её невысокий воротник визуально вытягивает силуэт, придавая образу утончённость, а изящные трикотажные резинки на рукавах и по низу добавляют аккуратности и создают ощущение собранности. Натуральный эластичный трикотаж из хлопка и шёлка влюбляет в себя с первого прикосновения. Такое полотно хорошо пропускает воздух, отличается нежностью и благородным внешним видом, который сохраняется даже при частой носке.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/cfe/1063_1598_2/cjtnqwn9pw6y6czowuvhwqlvmiueljmc.JPG,"70% хлопок,
30% шелк",5A-66WWT-0415-36,Зеленый,270378.0,Полуприлегающая,Шелк в составе,,,мужской,,"Название: Водолазка из хлопка и шелка. Описание: Водолазка KANZLER из хлопка и шёлка оливкового цвета. Невысокий воротник, трикотажные резинки на рукавах и по низу. Натуральный эластичный трикотаж воздухопроницаемый, сохраняет внешний вид при частой носке.. Атрибуты: состав: 70% хлопок, 30% шелк; цвет: Зеленый; степень облегания: Полуприлегающая; уникальные свойства: Шелк в составе; гендер: мужской.","Водолазка KANZLER из хлопка и шёлка оливкового цвета. Невысокий воротник, трикотажные резинки на рукавах и по низу. Натуральный эластичный трикотаж воздухопроницаемый, сохраняет внешний вид при частой носке."
https://kanzler-style.ru/product/tolstovka-r270333/,Толстовка на молнии,12 990,,"Толстовка KANZLER оттенка молочного шоколада на молнии гармонично сочетается с джинсами, брюками и джоггерами и подходит для прогулок, путешествий и спорта. Главный акцент — большой трапециевидный отложной воротник, который становится яркой деталью образа. Он украшен изящной фирменной вышивкой в тон, придающей модели индивидуальность. На рукавах расположена декоративная полоска с лаконичным орнаментом в оливковых тонах, которая добавляет спортивной динамики и сочетается с основным цветом. Толстовка сшита из мягкого трикотажа, в основе которого — прочный износоустойчивый полиэстер и натуральный гипоаллергенный дышащий хлопок. Небольшая добавка спандекса служит для эластичности и аккуратной посадки.",https://cdn.kanzler-style.ru/upload/resize_cache/iblock/ace/1063_1598_2/agb6h1jlfefc526y4y2an5sx373u3vet.JPG,"57% полиэстер,
38% хлопок,
5% спандекс",5A-34WWT-2315-23,Коричневый,270333.0,Прилегающая,,,,мужской,,"Название: Толстовка на молнии. Описание: Толстовка KANZLER молочного шоколада на молнии. Трапециевидный отложной воротник с фирменной вышивкой в тон. Рукава с декоративной полосой оливкового орнамента. Материал: полистер, хлопок, спандекс. Крой прилегающий.. Атрибуты: состав: 57% полиэстер, 38% хлопок, 5% спандекс; цвет: Коричневый; степень облегания: Прилегающая; гендер: мужской.","Толстовка KANZLER молочного шоколада на молнии. Трапециевидный отложной воротник с фирменной вышивкой в тон. Рукава с декоративной полосой оливкового орнамента. Материал: полистер, хлопок, спандекс. Крой прилегающий."
