title,price,old_price,url,description,brand,price_num,old_price_num,doc_text,len_text
NIKE AIR FORCE 1 LOW SP TIFFANY AND CO.,167 990,от 229 990 ₽,https://nikitaefremov.ru/catalog/shoes/nike_air_force_1_low_sp_tiffany_and_co/,"Nike Air Force 1 Low SP ""Tiffany & Co."" — это специальная версия культовых кроссовок Air Force 1, созданная в сотрудничестве с известным ювелирным домом Tiffany & Co. Эта модель стала знаковой благодаря своим уникальным дизайнерским элементам и ограниченному выпуску, что сделало её одним из самых желанных предметов для коллекционеров и поклонников бренда. Nike Air Force 1 Low SP ""Tiffany & Co. — это не только стильное дополнение для гардероба, но и предмет коллекционирования, который олицетворяет как уличную культуру, так и элегантность, присущую ювелирному дому Tiffany. Эта модель быстро стала желанным объектом среди поклонников кроссовок и коллекционеров, благодаря своему эксклюзивному статусу и уникальному дизайну.","NIKE, INC.",167990.0,229990.0,"NIKE AIR FORCE 1 LOW SP TIFFANY AND CO. Nike Air Force 1 Low SP ""Tiffany & Co."" — это специальная версия культовых кроссовок Air Force 1, созданная в сотрудничестве с известным ювелирным домом Tiffany & Co. Эта модель стала знаковой благодаря своим уникальным дизайнерским элементам и ограниченному выпуску, что сделало её одним из самых желанных предметов для коллекционеров и поклонников бренда. Nike Air Force 1 Low SP ""Tiffany & Co. — это не только стильное дополнение для гардероба, но и предмет коллекционирования, который олицетворяет как уличную культуру, так и элегантность, присущую ювелирному дому Tiffany. Эта модель быстро стала желанным объектом среди поклонников кроссовок и коллекционеров, благодаря своему эксклюзивному статусу и уникальному дизайну.",767
NIKE AIR JORDAN 1 LOW DIOR,от 1 516 990 ₽,,https://nikitaefremov.ru/catalog/shoes/nike_air_jordan_1_low_dior/,"Nike Air Jordan 1 Low Dior — эксклюзивная модель, объединяющая легендарный дизайн Air Jordan с роскошными деталями Dior. Верх из высококачественной кожи и замши дополняется фирменными логотипами и уникальными элементами оформления, создавая элегантный и статусный образ. Амортизационная подошва с пеной обеспечивает комфорт при ежедневной носке, а прочная резиновая подошва гарантирует надежное сцепление на различных поверхностях. Эти кроссовки идеально подходят для коллекционеров и ценителей уличного стиля, желающих подчеркнуть свою индивидуальность и статус.","NIKE, INC.",1516990.0,,"NIKE AIR JORDAN 1 LOW DIOR Nike Air Jordan 1 Low Dior — эксклюзивная модель, объединяющая легендарный дизайн Air Jordan с роскошными деталями Dior. Верх из высококачественной кожи и замши дополняется фирменными логотипами и уникальными элементами оформления, создавая элегантный и статусный образ. Амортизационная подошва с пеной обеспечивает комфорт при ежедневной носке, а прочная резиновая подошва гарантирует надежное сцепление на различных поверхностях. Эти кроссовки идеально подходят для коллекционеров и ценителей уличного стиля, желающих подчеркнуть свою индивидуальность и статус.",590
NIKE AIR JORDAN 1 RETRO LOW OG SP TRAVIS SCOTT OLIVE (W),от 83 990 ₽,,https://nikitaefremov.ru/catalog/shoes/nike_air_jordan_1_retro_low_og_sp_travis_scott_olive_w/,"Nike Air Jordan 1 Retro Low OG SP ""Travis Scott Olive"" (W) — это уникальная версия классической модели кроссовок Air Jordan 1, созданная в сотрудничестве с популярным рэпером Трэвисом Скоттом. Эта модель стала одной из самых востребованных и культовых благодаря своему дизайну и ограниченному выпуску.""Travis Scott Olive"" имеет характерный дизайн с акцентом на цвете оливкового (оливково-зеленого) оттенка, дополненный белыми и черными деталями. Кроссовки выделяются благодаря асимметричному логотипу Nike на боковой стороне и фирменной вышивке ""Cactus Jack"" на петле язычка и стельке, что делает их ещё более узнаваемыми.","NIKE, INC.",83990.0,,"NIKE AIR JORDAN 1 RETRO LOW OG SP TRAVIS SCOTT OLIVE (W) Nike Air Jordan 1 Retro Low OG SP ""Travis Scott Olive"" (W) — это уникальная версия классической модели кроссовок Air Jordan 1, созданная в сотрудничестве с популярным рэпером Трэвисом Скоттом. Эта модель стала одной из самых востребованных и культовых благодаря своему дизайну и ограниченному выпуску.""Travis Scott Olive"" имеет характерный дизайн с акцентом на цвете оливкового (оливково-зеленого) оттенка, дополненный белыми и черными деталями. Кроссовки выделяются благодаря асимметричному логотипу Nike на боковой стороне и фирменной вышивке ""Cactus Jack"" на петле язычка и стельке, что делает их ещё более узнаваемыми.",679
NIKE SB DUNK LOW GRATEFUL DEAD BEARS ORANGE,от 681 990 ₽,,https://nikitaefremov.ru/catalog/shoes/nike_sb_dunk_low_grateful_dead_bears_orange/,"Nike SB Dunk Low Grateful Dead Bears Orange - модель кроссовок, вдохновленная культовой группой Grateful Dead, сочетает в себе элементы уличной культуры и оригинальный дизайн, что делает их идеальным выбором для настоящих ценителей.ркая цветовая палитра в оранжевых и желтых тонах, а также характерные детали, вдохновленные медведями Grateful Dead, делают эти кроссовки настоящим произведением искусства, которое выделит вас из толпы. Высококачественные материалы и продуманная конструкция обеспечивают отличную поддержку и комфорт при каждом движении, позволяя вам чувствовать себя уверенно в любой ситуации. Nike SB Dunk Low Grateful Dead Bears Orange идеально подходят как для активного отдыха, так и для повседневной носки, добавляя вашему образу нотку креативности и индивидуальности.","NIKE, INC.",681990.0,,"NIKE SB DUNK LOW GRATEFUL DEAD BEARS ORANGE Nike SB Dunk Low Grateful Dead Bears Orange - модель кроссовок, вдохновленная культовой группой Grateful Dead, сочетает в себе элементы уличной культуры и оригинальный дизайн, что делает их идеальным выбором для настоящих ценителей.ркая цветовая палитра в оранжевых и желтых тонах, а также характерные детали, вдохновленные медведями Grateful Dead, делают эти кроссовки настоящим произведением искусства, которое выделит вас из толпы. Высококачественные материалы и продуманная конструкция обеспечивают отличную поддержку и комфорт при каждом движении, позволяя вам чувствовать себя уверенно в любой ситуации. Nike SB Dunk Low Grateful Dead Bears Orange идеально подходят как для активного отдыха, так и для повседневной носки, добавляя вашему образу нотку креативности и индивидуальности.",833
NEW BALANCE 2002R PROTECTION PACK RAIN CLOUD,19 990,от 40 390 ₽,https://nikitaefremov.ru/catalog/shoes/new_balance_2002r_protection_pack_rain_cloud/,"New Balance 2002R Protection Pack Rain Cloud — идеальный выбор для тех, кто ценит комфорт и современный дизайн. Эта модель сочетает в себе элементы уличной моды и передовые технологии, обеспечивая надежную поддержку и стильный внешний вид. Модель Rain Cloud выделяется своей оригинальной цветовой палитрой и современными линиями, что делает её отличным дополнением к любому наряду. Технология ABZORB поглощает удары и обеспечивает комфорт при каждом шаге, позволяя вашим ногам чувствовать себя прекрасно даже при длительной носке. Технология ENCAP - это комбинация мягкой пены и прочной оболочки, которая обеспечивает стабильность и поддержку, что делает кроссовки идеальными для активного образа жизни. Верхняя часть кроссовок выполнена из высококачественных дышащих материалов, которые обеспечивают отличную вентиляцию и предотвращают перегрев.Обеспечивает отличное сцепление с различными поверхностями, что делает эти кроссовки идеальными для городских прогулок и активного отдыха на природе.",NEW BALANCE,19990.0,40390.0,"NEW BALANCE 2002R PROTECTION PACK RAIN CLOUD New Balance 2002R Protection Pack Rain Cloud — идеальный выбор для тех, кто ценит комфорт и современный дизайн. Эта модель сочетает в себе элементы уличной моды и передовые технологии, обеспечивая надежную поддержку и стильный внешний вид. Модель Rain Cloud выделяется своей оригинальной цветовой палитрой и современными линиями, что делает её отличным дополнением к любому наряду. Технология ABZORB поглощает удары и обеспечивает комфорт при каждом шаге, позволяя вашим ногам чувствовать себя прекрасно даже при длительной носке. Технология ENCAP - это комбинация мягкой пены и прочной оболочки, которая обеспечивает стабильность и поддержку, что делает кроссовки идеальными для активного образа жизни. Верхняя часть кроссовок выполнена из высококачественных дышащих материалов, которые обеспечивают отличную вентиляцию и предотвращают перегрев.Обеспечивает отличное сцепление с различными поверхностями, что делает эти кроссовки идеальными для городских прогулок и активного отдыха на природе.",1040
NIKE AIR JORDAN 1 RETRO LOW OG ZION WILLIAMSON VOODOO,от 56 990 ₽,,https://nikitaefremov.ru/catalog/shoes/nike_air_jordan_1_retro_low_og_zion_williamson_voodoo/,"Nike Air Jordan 1 Retro Low OG Zion Williamson Voodoo - модель кроссовок, вдохновленная энергией и харизмой Зайона Уильямсона, сочетает в себе оригинальный дизайн и передовые технологии, что делает их идеальным выбором для настоящих ценителей. Уникальная цветовая палитра и детали, отражающие личность Зайона, делают эти кроссовки настоящим произведением искусства, которое выделит вас из толпы.Высококачественные материалы и продуманная конструкция обеспечивают отличную поддержку и комфорт при каждом движении, позволяя вам чувствовать себя уверенно в любой ситуации. Nike Air Jordan 1 Retro Low OG Zion Williamson Voodoo идеально подходят как для активного отдыха, так и для повседневной носки, добавляя вашему образу нотку спортивной элегантности.","NIKE, INC.",56990.0,,"NIKE AIR JORDAN 1 RETRO LOW OG ZION WILLIAMSON VOODOO Nike Air Jordan 1 Retro Low OG Zion Williamson Voodoo - модель кроссовок, вдохновленная энергией и харизмой Зайона Уильямсона, сочетает в себе оригинальный дизайн и передовые технологии, что делает их идеальным выбором для настоящих ценителей. Уникальная цветовая палитра и детали, отражающие личность Зайона, делают эти кроссовки настоящим произведением искусства, которое выделит вас из толпы.Высококачественные материалы и продуманная конструкция обеспечивают отличную поддержку и комфорт при каждом движении, позволяя вам чувствовать себя уверенно в любой ситуации. Nike Air Jordan 1 Retro Low OG Zion Williamson Voodoo идеально подходят как для активного отдыха, так и для повседневной носки, добавляя вашему образу нотку спортивной элегантности.",805
NIKE AIR JORDAN 1 RETRO LOW OG SP TRAVIS SCOTT BLACK PHANTOM,от 89 990 ₽,,https://nikitaefremov.ru/catalog/shoes/nike_air_jordan_1_retro_low_og_sp_travis_scott_black_phantom/,"""Black Phantom"" выполнены в основном черном цвете, который придает им стильный и загадочный вид. Однако черный верх из кожаных и замшевых материалов дополнен контрастными акцентами, включая яркие детали, которые делают модель более заметной. Существует также элегантный логотип ""Cactus Jack"" на петле язычка. Верх кроссовок изготовлен из высококачественной кожи и замши, что обеспечивает долговечность и комфорт. Использование различных текстур материалов добавляет интересный визуальный эффект и делает обувь более привлекательной.","NIKE, INC.",89990.0,,"NIKE AIR JORDAN 1 RETRO LOW OG SP TRAVIS SCOTT BLACK PHANTOM ""Black Phantom"" выполнены в основном черном цвете, который придает им стильный и загадочный вид. Однако черный верх из кожаных и замшевых материалов дополнен контрастными акцентами, включая яркие детали, которые делают модель более заметной. Существует также элегантный логотип ""Cactus Jack"" на петле язычка. Верх кроссовок изготовлен из высококачественной кожи и замши, что обеспечивает долговечность и комфорт. Использование различных текстур материалов добавляет интересный визуальный эффект и делает обувь более привлекательной.",593
NEW BALANCE 530 WHITE SILVER NAVY,14 990,от 23 090 ₽,https://nikitaefremov.ru/catalog/shoes/new_balance_530_white_silver_navy/,,NEW BALANCE,14990.0,23090.0,NEW BALANCE 530 WHITE SILVER NAVY,33
NIKE DUNK LOW CACAO WOW (W),14 990,от 29 390 ₽,https://nikitaefremov.ru/catalog/shoes/nike_dunk_low_cacao_wow_w/,"Nike Dunk Low ""Cacao Wow"" — это одна из популярных моделей кроссовок в рамках линейки Dunk от Nike. Эти кроссовки были выпущены с учетом современного стиля и тенденций, сочетая в себе элементы классики и новые цветовые решения.Dunk Low традиционно ассоциируется с улицей и молодежной культурой, и ""Cacao Wow"" не является исключением. Эти кроссовки можно носить с разными стилями одежды, включая джинсы, спортивные штаны или шорты, что делает их универсальными для различных образов.","NIKE, INC.",14990.0,29390.0,"NIKE DUNK LOW CACAO WOW (W) Nike Dunk Low ""Cacao Wow"" — это одна из популярных моделей кроссовок в рамках линейки Dunk от Nike. Эти кроссовки были выпущены с учетом современного стиля и тенденций, сочетая в себе элементы классики и новые цветовые решения.Dunk Low традиционно ассоциируется с улицей и молодежной культурой, и ""Cacao Wow"" не является исключением. Эти кроссовки можно носить с разными стилями одежды, включая джинсы, спортивные штаны или шорты, что делает их универсальными для различных образов.",510
NIKE AIR JORDAN 1 RETRO LOW OG SP TRAVIS SCOTT REVERSE MOCHA,159 990,от 193 190 ₽,https://nikitaefremov.ru/catalog/shoes/nike_air_jordan_1_retro_low_og_sp_travis_scott_reverse_mocha/,"Nike Air Jordan 1 Retro Low OG SP Travis Scott Reverse Mocha - уникальную модель, которая сочетает в себе элементы уличной культуры и высококачественный дизайн. Эти кроссовки идеально подойдут как для повседневной носки, так и для создания стильных образов.Уникальная цветовая схема в оттенках коричневого и бежевого, дополненная характерными деталями от Travis Scott, делает эту модель настоящим произведением искусства, которое привлечет внимание.Высококачественные материалы и продуманная конструкция обеспечивают отличную поддержку и комфорт, позволяя вам уверенно двигаться в любой ситуации. Nike Air Jordan 1 Retro Low OG SP Travis Scott Reverse Mocha идеально подходят для создания как спортивных, так и кэжуал-образов, добавляя вашему стилю нотку эксклюзивности.","NIKE, INC.",159990.0,193190.0,"NIKE AIR JORDAN 1 RETRO LOW OG SP TRAVIS SCOTT REVERSE MOCHA Nike Air Jordan 1 Retro Low OG SP Travis Scott Reverse Mocha - уникальную модель, которая сочетает в себе элементы уличной культуры и высококачественный дизайн. Эти кроссовки идеально подойдут как для повседневной носки, так и для создания стильных образов.Уникальная цветовая схема в оттенках коричневого и бежевого, дополненная характерными деталями от Travis Scott, делает эту модель настоящим произведением искусства, которое привлечет внимание.Высококачественные материалы и продуманная конструкция обеспечивают отличную поддержку и комфорт, позволяя вам уверенно двигаться в любой ситуации. Nike Air Jordan 1 Retro Low OG SP Travis Scott Reverse Mocha идеально подходят для создания как спортивных, так и кэжуал-образов, добавляя вашему стилю нотку эксклюзивности.",831
